 ID,YEAR,DD,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
08MF005,2000,1,1080,822,691,907,3520,5000,6810,5380,2980,1910,2250,1160
08MF005,2000,2,1080,864,697,981,3790,5080,6940,5330,2850,1850,2170,1140
08MF005,2000,3,1070,888,704,1080,3800,5110,7100,5190,2760,1880,2120,1130
08MF005,2000,4,1060,891,713,1250,3830,5260,7230,5090,2740,2060,2250,1100
08MF005,2000,5,1060,866,703,1340,3970,5540,7620,5010,2750,2100,2170,1100
08MF005,2000,6,1010,828,694,1470,3990,5760,8000,4850,2770,2020,2310,1060
08MF005,2000,7,981,793,680,1580,3910,5950,7820,4660,2710,1900,2880,1030
08MF005,2000,8,987,775,677,1670,3810,6440,7280,4500,2760,1800,2850,1010
08MF005,2000,9,1000,788,674,1760,3680,7120,7000,4410,2780,1710,2590,977
08MF005,2000,10,1030,801,678,1810,3560,7530,6970,4370,2800,1660,2330,927
08MF005,2000,11,1010,798,682,1830,3450,7560,7010,4300,3110,1610,2150,848
08MF005,2000,12,973,794,683,1880,3390,7540,6990,4190,3480,1610,1980,691
08MF005,2000,13,939,768,678,2000,3350,7540,6960,4010,3630,1650,1800,623
08MF005,2000,14,909,719,692,1980,3390,7560,6920,3830,3450,1670,1680,552
08MF005,2000,15,867,700,714,1950,3470,7450,6830,3640,3340,1630,1620,511
08MF005,2000,16,791,686,709,1870,3560,7180,6700,3480,3260,1570,1570,491
08MF005,2000,17,750,676,714,1810,3690,7280,6610,3330,3120,1570,1520,470
08MF005,2000,18,707,671,716,1680,3750,7510,6450,3180,3040,1730,1470,474
08MF005,2000,19,686,673,744,1680,3990,7420,6210,3050,2980,1610,1420,558
08MF005,2000,20,705,674,733,1700,4330,7190,5940,2950,2960,1830,1360,639
08MF005,2000,21,696,675,683,1760,4670,7330,5760,2840,3110,1880,1330,644
08MF005,2000,22,683,691,711,1940,5120,7370,5670,2770,3070,1700,1310,701
08MF005,2000,23,688,710,752,2140,5270,7170,5700,2730,2910,1770,1270,707
08MF005,2000,24,716,720,768,2550,5490,7020,5770,2710,2720,2080,1230,714
08MF005,2000,25,767,717,766,3110,5820,6960,5780,2740,2520,2120,1210,739
08MF005,2000,26,757,710,759,3280,5830,6830,5790,2680,2350,2450,1210,786
08MF005,2000,27,788,696,789,3190,5640,6670,5710,2660,2210,2770,1220,875
08MF005,2000,28,809,693,820,3070,5410,6560,5800,2690,2090,2560,1220,887
08MF005,2000,29,812,698,834,2940,5010,6640,5790,2880,2000,2350,1200,895
08MF005,2000,30,810,,846,3110,4880,6720,5540,3080,2000,2250,1210,880
08MF005,2000,31,815,,854,,4910,,5430,3080,,2260,,862
08MF005,2001,1,843,660,498,614,3400,6670,4970,5190,2810,2070,1470,938
08MF005,2001,2,843,666,496,663,3390,6620,5140,5080,2740,2000,1400,870
08MF005,2001,3,846,675,513,608,3170,6060,5220,4880,2650,1860,1320,818
08MF005,2001,4,862,677,529,596,2970,6090,5250,4740,2690,1710,1310,792
08MF005,2001,5,1100,685,480,601,2880,6750,5160,4630,2810,1600,1340,779
08MF005,2001,6,1010,663,478,610,2780,6940,5000,4730,2740,1510,1290,808
08MF005,2001,7,904,648,499,627,2930,6540,4870,4870,2610,1440,1310,812
08MF005,2001,8,854,613,496,652,3100,6180,4860,4930,2400,1370,1370,898
08MF005,2001,9,837,602,508,670,3050,6220,4810,4800,2200,1320,1350,1010
08MF005,2001,10,826,603,499,692,2890,6200,4670,4550,2230,1270,1270,1030
08MF005,2001,11,812,608,495,709,2880,6130,4560,4330,2220,1260,1210,1050
08MF005,2001,12,822,608,496,731,2900,6150,4490,4120,2120,1270,1240,1040
08MF005,2001,13,801,599,521,769,2880,6100,4460,3930,1990,1330,1540,1100
08MF005,2001,14,759,580,518,788,2840,5830,4450,3790,1840,1440,1950,1130
08MF005,2001,15,734,577,514,776,2910,5500,4400,3660,1770,1440,2150,1050
08MF005,2001,16,725,560,504,782,2940,5370,4290,3580,1710,1490,2410,1220
08MF005,2001,17,714,525,503,867,3070,5270,4200,3520,1640,1470,2040,1410
08MF005,2001,18,710,514,516,996,3240,5300,4180,3460,1600,1380,1900,1150
08MF005,2001,19,710,521,628,1070,3400,5260,4120,3400,1560,1390,1900,1030
08MF005,2001,20,685,522,620,1260,3420,5130,4320,3340,1560,1350,2130,1010
08MF005,2001,21,680,528,567,1380,3390,5120,5440,3290,1550,1330,2080,932
08MF005,2001,22,670,520,573,1490,3480,5100,6750,3290,1530,1430,1910,882
08MF005,2001,23,684,519,555,1590,3770,5110,7140,3490,1500,1630,1790,859
08MF005,2001,24,676,522,550,1730,4150,5130,6890,3380,1500,1470,1690,833
08MF005,2001,25,642,519,550,1930,4280,5370,6320,3130,1560,1400,1640,764
08MF005,2001,26,612,511,582,2090,4490,5480,5910,3050,1590,1420,1580,756
08MF005,2001,27,600,505,571,2370,4900,5360,5660,3170,1610,1600,1490,749
08MF005,2001,28,572,512,586,2750,5290,5220,5470,3280,1640,1470,1400,732
08MF005,2001,29,581,,587,2920,5450,5060,5220,3160,1720,1380,1320,728
08MF005,2001,30,629,,620,3140,5710,4930,5020,2960,1950,1350,1130,741
08MF005,2001,31,631,,584,,6200,,5090,2830,,1540,,730
08MF005,2002,1,711,626,636,604,3440,8530,10100,4360,2470,2410,1130,1200
08MF005,2002,2,719,657,626,636,3980,8790,9840,4180,2470,2450,1110,1160
08MF005,2002,3,756,687,658,633,4430,8720,9620,3950,2450,2430,1080,1100
08MF005,2002,4,798,701,654,660,5030,8440,9100,3750,2410,2340,1010,1040
08MF005,2002,5,827,732,655,679,5400,8260,8490,3590,2420,2500,992,1050
08MF005,2002,6,838,755,621,662,5390,8290,7890,3440,2460,2850,974,998
08MF005,2002,7,1590,771,566,678,5040,8290,7330,3310,2410,2770,986,930
08MF005,2002,8,2150,752,535,651,4760,8660,7030,3220,2300,2540,1010,880
08MF005,2002,9,1520,727,518,639,4520,9090,6670,3150,2200,2610,1070,850
08MF005,2002,10,1260,713,499,667,4270,8980,6540,3120,2080,3460,1070,839
08MF005,2002,11,1130,714,531,703,4060,8510,6440,3080,1980,3750,1080,831
08MF005,2002,12,1060,704,593,829,3990,8220,6510,3000,1890,3290,1150,899
08MF005,2002,13,1030,693,628,1200,4190,8360,6620,2980,1860,2910,1240,1010
08MF005,2002,14,1010,665,637,1700,4410,8760,6760,2980,1900,2640,1130,921
08MF005,2002,15,954,683,635,1550,4160,9140,6900,2910,1900,2410,1100,1010
08MF005,2002,16,920,681,623,1900,4540,9440,6920,2840,1890,2240,1090,1010
08MF005,2002,17,890,662,586,2190,5140,9660,6850,2820,1960,2100,1170,1040
08MF005,2002,18,874,665,578,2530,5280,10000,6730,2820,1930,2000,1160,1020
08MF005,2002,19,835,680,522,2570,5130,10200,6510,2830,1870,1900,1270,905
08MF005,2002,20,827,696,507,2590,5310,10400,6290,2780,1880,1830,1420,893
08MF005,2002,21,819,745,492,2610,5570,10600,6140,2670,1970,1780,1390,824
08MF005,2002,22,794,1180,495,2670,5820,10400,6080,2490,2490,1660,1570,780
08MF005,2002,23,767,906,491,3020,6510,9870,6010,2410,3150,1510,1930,732
08MF005,2002,24,819,760,503,3190,7260,9440,5930,2330,2940,1460,2310,650
08MF005,2002,25,850,685,535,3200,7500,9580,5470,2290,2780,1420,2110,635
08MF005,2002,26,784,640,545,3170,7230,9860,5250,2260,2830,1400,1840,658
08MF005,2002,27,720,606,623,3040,7190,10100,5110,2280,2910,1350,1630,658
08MF005,2002,28,631,640,626,2860,7210,10200,5050,2370,2860,1300,1460,628
08MF005,2002,29,592,,595,2940,7580,10100,5040,2480,2670,1260,1320,569
08MF005,2002,30,542,,570,3090,7860,10200,4950,2540,2520,1210,1250,542
08MF005,2002,31,555,,570,,8140,,4620,2520,,1170,,495
08MF005,2003,1,523,853,578,1160,3560,6840,5430,3480,1880,1470,3400,841
08MF005,2003,2,704,823,573,1060,3480,6880,5330,3420,1880,1380,3080,785
08MF005,2003,3,787,813,551,1110,3400,6800,5370,3390,1780,1320,2730,790
08MF005,2003,4,829,806,540,1320,3350,6800,5520,3340,1730,1270,2440,900
08MF005,2003,5,763,778,547,1410,3380,6930,5610,3290,1720,1230,2230,900
08MF005,2003,6,790,757,548,1390,3280,6990,5500,3250,1680,1200,2020,900
08MF005,2003,7,842,735,519,1240,3210,6860,5460,3170,1660,1180,1850,910
08MF005,2003,8,827,731,494,1180,3100,6760,5400,3090,1700,1180,1660,915
08MF005,2003,9,789,688,472,1270,2970,6700,5180,3070,1790,1200,1510,915
08MF005,2003,10,722,666,482,1180,2900,6820,4940,3150,1820,1230,1450,920
08MF005,2003,11,682,674,504,1260,2870,6910,4820,3220,1820,1310,1350,920
08MF005,2003,12,683,650,533,1520,2890,7110,4780,3200,1760,1340,1300,900
08MF005,2003,13,655,633,959,1700,2910,7300,4760,3160,1670,1480,1310,890
08MF005,2003,14,605,637,1080,1870,2950,7300,4500,3150,1580,1380,1330,880
08MF005,2003,15,580,631,920,1960,3030,7070,4380,3100,1540,1310,1370,860
08MF005,2003,16,561,643,806,2150,3130,7050,4300,2900,1540,1770,1430,860
08MF005,2003,17,573,649,757,2290,3380,6950,4230,2780,1510,3120,1460,840
08MF005,2003,18,562,635,753,2330,3490,6700,4200,2620,1490,2610,1660,825
08MF005,2003,19,591,628,729,2390,3320,6330,4100,2580,1500,2090,1550,821
08MF005,2003,20,589,638,717,2410,3150,6090,4000,2500,1440,2780,1440,834
08MF005,2003,21,574,635,748,2360,3020,5980,3800,2390,1360,3620,1350,851
08MF005,2003,22,629,628,812,2320,2970,5970,3740,2270,1330,4050,1240,840
08MF005,2003,23,621,596,835,2370,3040,5950,3650,2200,1430,4110,1100,830
08MF005,2003,24,578,540,854,2500,3330,5810,3580,2100,1430,3700,1030,810
08MF005,2003,25,740,517,849,2670,4010,5650,3560,2000,1470,3340,981,790
08MF005,2003,26,1080,507,779,2830,4340,5510,3580,1950,1650,3370,937,760
08MF005,2003,27,803,539,863,3100,4750,5380,3570,1880,1740,3320,934,740
08MF005,2003,28,727,579,831,3650,5700,5270,3560,1940,1710,3280,975,730
08MF005,2003,29,721,,808,3920,6450,5280,3500,1960,1630,3270,892,720
08MF005,2003,30,702,,984,3790,6640,5450,3430,1920,1550,3240,882,720
08MF005,2003,31,801,,1360,,6670,,3430,1900,,3420,,720
08MF005,2004,1,680,645,615,1320,3920,5060,5000,2900,2270,2340,1710,1860
08MF005,2004,2,660,650,610,1420,4050,5010,4820,2780,2620,2260,1850,1790
08MF005,2004,3,620,655,605,1530,4010,4910,4630,2750,2910,2160,1710,1790
08MF005,2004,4,580,666,604,1650,4110,4870,4520,2760,3260,2080,1690,1820
08MF005,2004,5,560,671,601,1740,4510,4830,4480,2700,3490,1990,1690,1820
08MF005,2004,6,565,675,599,1820,4870,4750,4450,2630,3560,1970,1680,1790
08MF005,2004,7,570,680,609,1980,5030,4670,4410,2580,3430,1910,1910,1840
08MF005,2004,8,590,685,677,2030,5030,5080,4280,2500,3520,1870,2120,1740
08MF005,2004,9,650,687,779,2080,4780,6030,4170,2590,3490,2030,2500,1430
08MF005,2004,10,710,682,790,2130,4470,6650,4210,2660,3320,1920,2430,1630
08MF005,2004,11,780,694,747,2200,4370,6450,4170,2600,3380,1820,2580,2380
08MF005,2004,12,840,693,740,2380,4330,6090,4030,2540,3500,1800,3190,1730
08MF005,2004,13,930,682,743,2560,4300,5980,3850,2480,3650,1840,3200,1500
08MF005,2004,14,1010,665,766,2640,4160,5990,3710,2460,3860,2100,2850,1510
08MF005,2004,15,871,660,785,2890,4030,6060,3580,2420,3870,2900,2770,1560
08MF005,2004,16,829,661,801,3130,3860,5990,3510,2410,3760,3070,2730,1570
08MF005,2004,17,832,665,851,3190,3770,5870,3440,2540,3680,3160,2770,1600
08MF005,2004,18,824,665,932,3110,3770,5610,3440,2560,3500,3210,3430,1590
08MF005,2004,19,835,658,921,2970,3830,5280,3470,2590,3330,3180,3410,1800
08MF005,2004,20,844,652,889,2810,3920,4990,3500,2590,3270,3000,3080,1800
08MF005,2004,21,846,640,860,2680,4100,4880,3540,2580,3270,2770,2830,1790
08MF005,2004,22,851,634,845,2590,4500,4850,3590,2580,3220,2580,2610,1780
08MF005,2004,23,854,631,865,2580,4660,4900,3660,2580,3090,2450,2450,1830
08MF005,2004,24,857,624,878,2600,4770,5050,3750,2530,2940,2320,2610,1790
08MF005,2004,25,841,622,874,2570,4690,5240,3710,2530,2890,2220,2680,1770
08MF005,2004,26,809,622,874,2650,4590,5270,3550,2460,2880,2120,2420,1700
08MF005,2004,27,760,623,885,2860,4470,5270,3400,2380,2790,2040,2310,1700
08MF005,2004,28,710,622,902,2840,4480,5310,3320,2300,2670,1900,2160,1580
08MF005,2004,29,680,620,939,2880,4660,5250,3230,2220,2560,1850,2050,1370
08MF005,2004,30,660,,1060,3380,4950,5120,3130,2080,2440,1840,1940,1310
08MF005,2004,31,650,,1190,,5110,,3050,2140,,1740,,1350
08MF005,2005,1,1210,3190,1380,1530,5000,6240,5360,3560,2120,1820,2660,1360
08MF005,2005,2,1080,3020,1370,1500,4690,6720,5320,3560,2140,2050,2520,1220
08MF005,2005,3,940,2940,1350,1480,4420,7050,5370,3580,2240,2190,2420,1080
08MF005,2005,4,920,2980,1320,1460,4220,7320,5510,3670,2210,2200,2360,1010
08MF005,2005,5,885,3070,1360,1450,4090,7400,5550,3710,2090,2120,2290,946
08MF005,2005,6,830,3170,1380,1440,4070,7220,5590,3660,2120,1960,2230,887
08MF005,2005,7,820,3210,1420,1460,4140,6960,5450,3440,2210,1960,2150,896
08MF005,2005,8,820,2950,1460,1500,4280,6800,5420,3260,2150,1850,2080,861
08MF005,2005,9,810,2680,1640,1530,4580,6720,5860,3140,2050,1770,2000,882
08MF005,2005,10,805,2510,1870,1690,4840,6570,6090,3080,1950,1770,2110,913
08MF005,2005,11,805,2400,2010,1880,4880,6340,6140,3030,1930,1860,2120,1040
08MF005,2005,12,823,2320,2140,1990,4880,6110,6030,2960,1970,1850,2040,1100
08MF005,2005,13,846,2260,2250,2000,4980,6010,5790,2860,1930,1960,2020,1130
08MF005,2005,14,910,2160,2240,1970,5230,5950,5530,2760,1850,2210,2080,1130
08MF005,2005,15,990,2070,2250,1950,5620,5890,5260,2680,1840,2260,1980,1100
08MF005,2005,16,1040,1970,2240,1970,6110,5770,5160,2620,1800,2500,1910,1080
08MF005,2005,17,1060,1870,2200,1930,6420,5670,5090,2590,1800,2730,1820,1050
08MF005,2005,18,1340,1780,2150,1900,6860,5570,5100,2580,1900,2810,1780,1020
08MF005,2005,19,2070,1700,2050,1900,7310,5440,5070,2540,1910,2760,1740,987
08MF005,2005,20,2360,1640,1990,1970,7460,5420,4970,2540,1890,3000,1720,967
08MF005,2005,21,2010,1570,1890,2140,7230,5390,4850,2540,1810,3120,1650,1150
08MF005,2005,22,1800,1530,1760,2260,6830,5430,4750,2520,1750,3070,1780,1260
08MF005,2005,23,1950,1490,1640,2490,6480,5480,4620,2490,1770,2960,1870,1360
08MF005,2005,24,2380,1470,1560,2830,6130,5530,4410,2430,1790,2820,1870,1490
08MF005,2005,25,3760,1450,1550,3300,5810,5760,4210,2460,1760,2680,1850,2280
08MF005,2005,26,3470,1440,1600,3840,5570,5890,4130,2450,1670,2680,1780,2050
08MF005,2005,27,3620,1420,1610,4420,5370,5870,4240,2370,1600,2820,1700,1700
08MF005,2005,28,3870,1380,1600,4840,5280,5710,4110,2240,1530,2870,1630,1610
08MF005,2005,29,3830,,1450,5200,5320,5520,3910,2140,1580,2850,1560,1620
08MF005,2005,30,3620,,1430,5230,5530,5410,3730,2090,1770,2770,1470,1670
08MF005,2005,31,3420,,1450,,5790,,3610,2060,,2740,,1690
08MF005,2006,1,1730,1220,835,1000,2920,6080,4580,2970,1700,1180,1350,510
08MF005,2006,2,1650,1200,802,1010,3080,6210,4580,2920,1680,1170,1370,562
08MF005,2006,3,1570,1180,786,999,3200,6320,4460,2890,1650,1170,1360,664
08MF005,2006,4,1510,1180,820,974,3140,6270,4300,2880,1610,1150,1580,697
08MF005,2006,5,1540,1180,858,1090,3080,6520,4160,2760,1540,1130,1650,749
08MF005,2006,6,1690,1150,871,1210,3030,6930,4100,2650,1450,1090,2400,734
08MF005,2006,7,1760,1130,847,1310,2960,6990,4060,2570,1430,1050,2680,776
08MF005,2006,8,1610,1100,840,1440,2940,6790,4030,2490,1480,990,2010,854
08MF005,2006,9,1540,1090,839,1600,3000,6610,4060,2450,1500,949,1550,900
08MF005,2006,10,1550,1060,819,1780,3110,6490,4120,2410,1530,921,1470,932
08MF005,2006,11,1560,1010,812,2030,3200,6420,4080,2360,1520,890,1460,966
08MF005,2006,12,1520,1000,789,2190,3160,6410,4010,2330,1510,865,1470,1030
08MF005,2006,13,1500,1010,777,2320,3030,6440,4000,2340,1510,840,1440,1130
08MF005,2006,14,1480,989,761,2280,2970,6490,3990,2330,1510,818,1350,1130
08MF005,2006,15,1420,964,772,2220,3050,6380,3910,2300,1500,800,1400,1130
08MF005,2006,16,1380,937,767,2200,3350,6210,3810,2230,1460,800,1880,1040
08MF005,2006,17,1390,904,760,2150,3780,6150,3800,2180,1410,780,1520,979
08MF005,2006,18,1360,866,747,2070,4130,6080,3810,2170,1370,762,1370,920
08MF005,2006,19,1330,820,752,1960,4370,6050,3690,2160,1330,759,1390,880
08MF005,2006,20,1290,795,743,1890,4870,5880,3510,2120,1260,772,1480,901
08MF005,2006,21,1240,806,733,1900,5520,5670,3350,2070,1220,775,1450,981
08MF005,2006,22,1200,830,719,1890,5970,5410,3240,2030,1180,765,1390,970
08MF005,2006,23,1230,902,742,2060,6360,5190,3160,2010,1150,784,1290,921
08MF005,2006,24,1250,886,766,2360,6700,4990,3130,1980,1160,860,1220,858
08MF005,2006,25,1240,852,807,2430,6980,4880,3150,1940,1180,851,1110,866
08MF005,2006,26,1250,815,832,2430,7100,4800,3210,1900,1120,851,967,831
08MF005,2006,27,1230,830,859,2430,7190,4710,3260,1860,1090,917,814,811
08MF005,2006,28,1210,873,894,2520,7070,4610,3290,1820,1100,915,643,780
08MF005,2006,29,1210,,931,2760,6750,4520,3260,1780,1130,965,594,741
08MF005,2006,30,1220,,967,2900,6420,4510,3170,1760,1180,984,541,708
08MF005,2006,31,1200,,987,,6170,,3070,1730,,1080,,703
08MF005,2007,1,689,706,677,1570,4350,6890,6440,4630,2370,2210,3090,1570
08MF005,2007,2,1040,682,669,1510,4200,7250,6550,4460,2300,2320,3020,1510
08MF005,2007,3,1180,658,655,1460,4030,7800,6710,4440,2330,2180,2920,1510
08MF005,2007,4,1020,642,657,1390,3870,8560,6850,4280,2370,2090,2820,2080
08MF005,2007,5,917,644,662,1360,3910,9200,6810,4100,2330,2160,2670,1920
08MF005,2007,6,875,685,674,1340,4140,9740,6660,3970,2330,2210,2550,1540
08MF005,2007,7,856,726,757,1330,4260,10200,6550,3920,2310,2280,2480,1290
08MF005,2007,8,882,758,847,1390,4410,10500,6580,3870,2290,2240,2440,1160
08MF005,2007,9,893,761,850,1550,4590,10800,6640,3800,2400,2080,2480,1160
08MF005,2007,10,893,720,899,1750,5120,10800,6580,3690,2430,2180,2680,1180
08MF005,2007,11,798,710,1280,2100,6000,10600,6440,3580,2380,2530,2780,1250
08MF005,2007,12,696,730,2700,2500,6490,9940,6270,3440,2250,2390,2870,1340
08MF005,2007,13,614,746,1970,3010,6250,9410,6120,3310,2100,2250,2900,1410
08MF005,2007,14,577,739,1670,3200,5890,9040,6070,3180,2010,2170,2800,1450
08MF005,2007,15,560,733,1550,3230,5710,8580,6090,3050,1970,2120,2760,1480
08MF005,2007,16,610,790,1520,3230,5740,8100,6080,2980,1940,2060,2810,1480
08MF005,2007,17,624,792,1640,3280,5750,7730,6070,2920,1910,2040,2590,1480
08MF005,2007,18,666,825,1800,3350,5770,7460,6070,2870,1860,1970,2460,1460
08MF005,2007,19,666,806,1830,3290,5970,7340,6100,2810,1770,1990,2370,1480
08MF005,2007,20,685,821,1900,3290,6120,7460,6020,2770,1750,2010,2320,1420
08MF005,2007,21,689,777,1750,3280,6180,7610,5890,2770,1720,2010,2220,1300
08MF005,2007,22,737,757,1700,3240,6210,7590,5960,2780,1690,2040,2110,1310
08MF005,2007,23,756,743,1690,3200,6280,7360,6100,2760,1650,2110,1990,1310
08MF005,2007,24,776,730,1880,3220,6210,7170,6040,2720,1660,2170,1910,1300
08MF005,2007,25,785,715,1950,3310,6090,7150,5810,2670,1700,2300,1780,1290
08MF005,2007,26,772,714,1790,3720,6010,7130,5630,2630,1760,2720,1690,1270
08MF005,2007,27,743,708,1650,4380,5980,7000,5610,2590,1710,3220,1660,1290
08MF005,2007,28,701,700,1610,4770,5920,6750,5510,2540,1740,3350,1630,1290
08MF005,2007,29,666,,1590,4550,5990,6550,5250,2520,1940,3190,1640,1270
08MF005,2007,30,678,,1580,4460,6320,6450,4970,2480,2080,2990,1630,1210
08MF005,2007,31,706,,1590,,6650,,4770,2440,,2960,,1110
08MF005,2008,1,1110,702,920,759,1900,9450,5930,3410,3320,1580,1430,1520
08MF005,2008,2,1140,790,894,734,2160,9450,6150,3400,3600,1610,1440,1520
08MF005,2008,3,1130,779,877,739,2370,9200,6400,3370,3560,1620,1480,1480
08MF005,2008,4,1130,746,871,735,2610,9010,6660,3310,3330,1950,1490,1430
08MF005,2008,5,1130,763,857,727,2850,8810,6770,3260,3270,1520,1530,1420
08MF005,2008,6,1040,814,849,724,3140,8710,6840,3160,3210,1450,1580,1370
08MF005,2008,7,969,844,842,736,3370,8750,6710,3070,3060,1300,1710,1340
08MF005,2008,8,980,871,837,751,3440,8580,6650,3010,2960,1220,1760,1260
08MF005,2008,9,941,900,831,736,3540,8130,6510,2990,2840,1290,1760,1320
08MF005,2008,10,981,903,846,739,3680,7890,6390,2960,2630,1330,1750,1410
08MF005,2008,11,990,861,905,749,3730,7510,6030,2940,2370,1350,1730,1470
08MF005,2008,12,970,843,920,760,3700,7110,5760,2950,2260,1300,2110,1460
08MF005,2008,13,950,869,895,846,3850,6930,5490,3040,2160,1260,2240,1410
08MF005,2008,14,980,899,882,943,4040,6690,5120,3320,2060,1220,2050,1380
08MF005,2008,15,960,894,879,1090,4400,6560,4730,3490,2050,1510,2020,1230
08MF005,2008,16,950,882,883,1200,4980,6680,4470,3320,2180,1530,2080,1010
08MF005,2008,17,945,881,882,1330,5630,6940,4350,3150,2190,1650,2020,859
08MF005,2008,18,950,886,871,1420,6320,6650,4170,3080,2250,1670,1950,781
08MF005,2008,19,945,868,879,1510,7140,6220,4050,3110,2170,1610,1900,707
08MF005,2008,20,960,863,883,1580,7980,6080,4000,3290,2100,1670,1900,648
08MF005,2008,21,930,840,846,1570,8750,6220,3970,3470,1970,1620,1880,688
08MF005,2008,22,875,859,795,1530,9130,6300,3900,3500,1750,1620,1850,729
08MF005,2008,23,858,861,795,1460,9730,6120,3870,3670,1710,1600,1780,930
08MF005,2008,24,816,855,820,1390,10200,5940,3870,3910,1640,1620,1710,818
08MF005,2008,25,796,852,815,1330,10100,6040,3910,3920,1660,1610,1670,750
08MF005,2008,26,772,844,791,1300,9780,6180,3870,3710,1680,1620,1630,770
08MF005,2008,27,784,845,797,1270,9580,5980,3780,3320,1840,1580,1590,810
08MF005,2008,28,823,862,785,1320,9430,5900,3580,3300,1790,1530,1550,845
08MF005,2008,29,808,877,780,1480,9420,5920,3480,3360,1740,1550,1520,900
08MF005,2008,30,702,,780,1660,9350,5900,3420,3170,1680,1490,1520,933
08MF005,2008,31,685,,768,,9290,,3410,3200,,1440,,969
08MF005,2009,1,1040,805,725,781,3190,6090,5280,4040,1780,1560,1390,1730
08MF005,2009,2,1040,881,756,790,3180,6220,5160,3940,1750,1510,1300,1580
08MF005,2009,3,1040,886,783,794,3230,6420,4910,3840,1750,1470,1570,1480
08MF005,2009,4,1000,881,799,789,3290,6450,4580,3760,1780,1420,1880,1410
08MF005,2009,5,968,895,798,785,3680,6480,4300,3670,1800,1370,1820,1320
08MF005,2009,6,1000,903,788,783,4030,6600,4070,3690,1850,1340,1990,1210
08MF005,2009,7,1240,900,774,813,4200,6840,4050,3670,1920,1300,1760,1080
08MF005,2009,8,1270,891,759,850,4350,7220,4140,3500,2010,1270,1600,959
08MF005,2009,9,1190,889,758,898,4510,7410,4340,3330,1990,1230,1510,892
08MF005,2009,10,1120,878,734,926,4500,7180,4710,3190,1930,1230,1520,831
08MF005,2009,11,1070,880,702,978,4480,6810,4980,3030,1920,1240,1480,829
08MF005,2009,12,1060,878,694,1080,4510,6530,4850,2900,1990,1230,1380,822
08MF005,2009,13,1070,853,710,1240,4480,6420,4660,2850,1930,1180,1350,856
08MF005,2009,14,1060,859,743,1310,4620,6490,4550,2900,1900,1100,1290,913
08MF005,2009,15,1060,856,748,1510,4670,6670,4520,2920,1810,1060,1250,733
08MF005,2009,16,1060,843,749,1650,4650,6920,4560,2820,1740,1030,1690,684
08MF005,2009,17,1050,801,733,1870,4610,7070,4510,2640,1690,1200,1940,726
08MF005,2009,18,1040,795,736,2060,4650,7230,4440,2470,1650,1260,1540,728
08MF005,2009,19,1040,788,745,2250,4730,7370,4250,2340,1660,1150,1430,799
08MF005,2009,20,1020,774,771,2420,4870,7490,4140,2250,1720,1080,1530,918
08MF005,2009,21,1010,766,801,2640,5230,7430,4150,2190,1760,1020,1520,1040
08MF005,2009,22,991,763,779,3010,5310,7290,4180,2180,1820,1070,1450,961
08MF005,2009,23,997,765,770,3320,5200,6990,4160,2210,1920,1080,1380,904
08MF005,2009,24,970,791,747,3760,5050,6660,4060,2200,1920,1120,1320,874
08MF005,2009,25,936,814,760,3890,5020,6060,3930,2200,1910,1080,1380,807
08MF005,2009,26,967,774,762,3800,5160,5760,3930,2210,1800,1140,1780,776
08MF005,2009,27,886,738,776,3670,5300,5470,3960,2140,1730,1130,1560,758
08MF005,2009,28,849,708,817,3470,5480,5550,3960,2060,1670,1120,1470,745
08MF005,2009,29,849,,819,3350,5910,5680,3990,1910,1650,1090,1510,773
08MF005,2009,30,874,,806,3280,6300,5480,4040,1770,1640,1280,1800,779
08MF005,2009,31,908,,782,,6250,,4070,1730,,1590,,783
08MF005,2010,1,827,877,769,1760,2670,4830,5430,3180,2070,2770,1630,1060
08MF005,2010,2,896,872,779,1670,2770,4840,5220,3200,2010,3090,1700,1130
08MF005,2010,3,893,863,802,1570,2800,5020,5040,3180,1890,3040,1530,1150
08MF005,2010,4,865,854,831,1490,2750,4860,4860,3140,1840,2780,1480,1140
08MF005,2010,5,831,851,849,1410,2720,4880,4650,3070,1870,2550,1490,1110
08MF005,2010,6,806,849,872,1350,2680,5080,4420,3010,1870,2330,1520,1070
08MF005,2010,7,767,831,869,1260,2600,5150,4340,2930,1860,2190,1550,1010
08MF005,2010,8,745,818,887,1270,2500,5100,4450,2860,1880,2080,1520,994
08MF005,2010,9,755,802,909,1250,2390,5080,4550,2840,1950,2020,1520,1080
08MF005,2010,10,816,789,918,1260,2310,5180,4530,2840,1970,2070,1530,1090
08MF005,2010,11,1100,784,909,1280,2250,5270,4470,2860,1890,1980,1530,1060
08MF005,2010,12,1380,791,918,1260,2250,5370,4540,2840,1810,1890,1500,1250
08MF005,2010,13,1290,792,902,1230,2330,5510,4590,2800,1790,1820,1460,1330
08MF005,2010,14,1170,822,856,1190,2420,5610,4510,2710,1740,1770,1450,1200
08MF005,2010,15,1240,845,840,1180,2550,5610,4450,2640,1700,1800,1500,1150
08MF005,2010,16,1210,832,870,1180,2710,5680,4370,2600,1700,1790,1610,1100
08MF005,2010,17,1120,829,915,1230,2940,5780,4170,2550,1690,1770,1540,1050
08MF005,2010,18,1110,809,908,1320,3230,5670,3960,2540,1670,1690,1610,1000
